lane_code,product,category,crates_per_day,units_per_crate,daily_avg_units,max_stack,demand_source,divergence_flag,lane_of_product
M2-07,Competition Approved White Basmati Rice (1lb),meal,1,24,21.5,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-08,Crispy Baked Chicken Wrap,meal,4,24,191.8,7,"real (Shopify Online Store, 90-day trailing avg)",False,1 of 2
M2-09,Crispy Baked Chicken Wrap,meal,4,24,191.8,7,"real (Shopify Online Store, 90-day trailing avg)",False,2 of 2
M2-10,Crispy Vegan Wrap,meal,1,24,8.8,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-11,Farfalle & Chicken Alfredo,meal,5,24,110.5,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-12,Fit Ala Vodka With Chicken,meal,5,24,98.5,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-13,Fit-Fil-A,meal,4,24,92.1,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-14,GLORIOUS GAINS Steak Bites & Cilantro Lime Rice,meal,5,24,110.8,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-15,Gluten Free Carbonara Chicken,meal,4,24,78.8,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-16,Grilled Chicken Parmesan Wrap,meal,6,24,122.8,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-17,Grilled Chicken Pesto Wrap,meal,5,24,111.3,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-18,Herb Butter Steak Tips Bowl,meal,7,24,156.2,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-19,Hey Arnold! Burrito,meal,5,24,118.3,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-20,HFit Signature Fold,meal,6,24,120.3,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-21,Honey Garlic Crispy Chicken Tacos,meal,1,24,0.0,7,no recent Shopify sales (Online Store) -- floor 1 crate,False,
M2-22,Hot Honey Steak & Mac,meal,4,24,90.5,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-23,Keto Ricotta Meatballs,meal,4,24,86.3,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-24,Lo Mein Teriyaki Steak,meal,5,24,118.8,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-25,Low Carb Keto Cheeseburger Bowl,meal,4,24,88.6,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-26,Meatball Parmesan Wrap,meal,5,24,115.6,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M2-27,MsWendy Buff Nuggets,meal,4,24,88.8,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-01,Nacho Average Bowl,meal,3,24,67.8,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-02,Nacho Average Vegan Bowl,meal,1,24,11.5,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-03,Peanut Butter & Jelly Sandwich,meal,3,24,65.7,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-04,Philly Cheesesteak Quesadilla,meal,1,24,13.1,7,"real (Shopify Online Store, 90-day trailing avg)",True,
M3-05,Pineapple Teriyaki Meatballs,meal,3,24,57.6,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-06,Rigatoni & Meatballs,meal,5,24,113.2,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-07,Soho Steak Bowl,meal,4,24,88.8,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-08,Southwest Chicken Bowl,meal,5,24,112.5,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-09,Southwest Chicken Quesadilla,meal,4,24,88.5,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-10,Spicy Buffalo Wrap,meal,7,24,150.5,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-11,Stacked and Jacked,meal,5,24,116.1,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-12,Strawberry Protein French Toast,meal,3,24,61.9,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-13,Strongsville Chicken Ranch Fold,meal,5,24,112.4,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-14,Taco Build Quesadilla,meal,6,24,127.6,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-15,Teriyaki Flank Bowl,meal,5,24,105.2,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-16,Texas Queso Steak Bowl,meal,2,24,31.9,7,"real (Shopify Online Store, 90-day trailing avg)",True,
M3-17,TexMex Potato Hash,meal,5,24,104.5,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-18,Thai Chili Chicken,meal,6,24,126.7,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-19,The Arches Mac Daddy Wrap,meal,2,24,36.7,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-20,The Clean Bulk Pasta Bowl,meal,4,24,81.3,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-21,Turkey Bacon Cheddar Egg Muffins,meal,2,24,28.3,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-22,Vegan Breakfast Sandwich,meal,1,24,7.4,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-23,Vegan Cheeseburger Bowl,meal,1,24,10.8,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-24,Vegan Chorizo Quesadilla,meal,1,24,10.1,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-25,West Coast Secret Sauce Bowl,meal,1,24,0.0,7,no recent Shopify sales (Online Store) -- floor 1 crate,False,
M3-26,Zeus Bowl,meal,7,24,157.5,7,"real (Shopify Online Store, 90-day trailing avg)",False,
M3-27,Zeus Bowl V2,meal,4,24,88.9,7,"real (Shopify Online Store, 90-day trailing avg)",False,
